Processing question_tags.csv...
Processed 100000 rows, current total: 3
Processed 200000 rows, current total: 9
Processed 300000 rows, current total: 13
Processed 400000 rows, current total: 21
Processed 500000 rows, current total: 34
Processed 600000 rows, current total: 39
Processed 700000 rows, current total: 49
Processed 800000 rows, current total: 59
Processed 900000 rows, current total: 69
Processed 1000000 rows, current total: 87
Processed 1100000 rows, current total: 100
Processed 1200000 rows, current total: 115
Processed 1300000 rows, current total: 129
Processed 1400000 rows, current total: 145
Processed 1500000 rows, current total: 158
Processed 1600000 rows, current total: 183
Processed 1700000 rows, current total: 208
Processed 1800000 rows, current total: 222
Processed 1900000 rows, current total: 234
Processed 2000000 rows, current total: 251
Processed 2100000 rows, current total: 275
Processed 2200000 rows, current total: 302
Processed 2300000 rows, current total: 322
Processed 2400000 rows, current total: 346
Processed 2500000 rows, current total: 364
Processed 2600000 rows, current total: 379
Processed 2700000 rows, current total: 404
Processed 2800000 rows, current total: 430
Processed 2900000 rows, current total: 459
Processed 3000000 rows, current total: 478
Processed 3100000 rows, current total: 505
Processed 3200000 rows, current total: 533
Processed 3300000 rows, current total: 560
Processed 3400000 rows, current total: 586
Processed 3500000 rows, current total: 624
Processed 3600000 rows, current total: 651
Processed 3700000 rows, current total: 680
Processed 3800000 rows, current total: 711
Processed 3900000 rows, current total: 733
Processed 4000000 rows, current total: 763
Processed 4100000 rows, current total: 795
Processed 4200000 rows, current total: 821
Processed 4300000 rows, current total: 849
Processed 4400000 rows, current total: 890
Processed 4500000 rows, current total: 913
Processed 4600000 rows, current total: 933
Processed 4700000 rows, current total: 955
Processed 4800000 rows, current total: 990
Processed 4900000 rows, current total: 1023
Processed 5000000 rows, current total: 1060
Processed 5100000 rows, current total: 1084
Processed 5200000 rows, current total: 1105
Processed 5300000 rows, current total: 1137
Processed 5400000 rows, current total: 1167
Processed 5500000 rows, current total: 1201
Processed 5600000 rows, current total: 1227
Processed 5700000 rows, current total: 1257
Processed 5800000 rows, current total: 1301
Processed 5900000 rows, current total: 1323
Processed 6000000 rows, current total: 1360
Processed 6100000 rows, current total: 1390
Processed 6200000 rows, current total: 1421
Processed 6300000 rows, current total: 1462
Processed 6400000 rows, current total: 1507
Processed 6500000 rows, current total: 1539
Processed 6600000 rows, current total: 1587
Processed 6700000 rows, current total: 1618
Processed 6800000 rows, current total: 1656
Processed 6900000 rows, current total: 1694
Processed 7000000 rows, current total: 1726
Processed 7100000 rows, current total: 1759
Processed 7200000 rows, current total: 1799
Processed 7300000 rows, current total: 1851
Processed 7400000 rows, current total: 1885
Processed 7500000 rows, current total: 1932
Processed 7600000 rows, current total: 1974
Processed 7700000 rows, current total: 2019
Processed 7800000 rows, current total: 2047
Processed 7900000 rows, current total: 2103
Processed 8000000 rows, current total: 2148
Processed 8100000 rows, current total: 2205
Processed 8200000 rows, current total: 2266
Processed 8300000 rows, current total: 2309
Processed 8400000 rows, current total: 2364
Processed 8500000 rows, current total: 2407
Processed 8600000 rows, current total: 2461
Processed 8700000 rows, current total: 2510
Processed 8800000 rows, current total: 2568
Processed 8900000 rows, current total: 2629
Processed 9000000 rows, current total: 2695
Processed 9100000 rows, current total: 2744
Processed 9200000 rows, current total: 2776
Processed 9300000 rows, current total: 2834
